date_prevision_faite,ligne,date_cible,passagers_predits,bus_recommandes
2026-08-16,12,2026-07-15,7653,9.5
2026-08-16,12,2026-07-16,7782,9.5
2026-08-16,12,2026-07-17,7007,9.5
2026-08-16,12,2026-07-18,5958,8.0
2026-08-16,12,2026-07-19,3903,5.5
2026-08-16,12,2026-07-20,7192,9.0
2026-08-16,12,2026-07-21,7366,9.5
2026-08-16,12,2026-07-22,7400,9.5
2026-08-16,12,2026-07-23,7562,9.5
2026-08-16,12,2026-07-24,6781,9.0
2026-08-16,12,2026-07-25,5800,8.0
2026-08-16,12,2026-07-26,3845,5.5
2026-08-16,12,2026-07-27,7062,9.0
2026-08-16,12,2026-07-28,7264,9.5
